,آب,آن,آید,از,است,اندر,او,اول,اگر,ای,این,با,باد,بار,باز,باشد,بدین,بر,به,بود,بی,تا,ترک,تو,تیر,جان,جمال,حال,حسن,خواب,خود,خوش,خویش,دارد,در,درد,دست,دل,دوست,دوستان,دگر,دیده,دیگر,را,روز,روی,ساقی,سخن,سر,سرو,سعدی,شب,شکر,صبر,صورت,عشق,عقل,عمر,عهد,غزل,غم,فراق,ما,مرا,ملامت,من,مگر,میان,میرود,نباشد,نظر,نه,نیست,هر,هزار,هم,همه,همچنان,هیچ,ور,پای,پیر,پیش,چشم,چنین,چه,چو,چون,کز,کسی,کمان,کمند,کن,کند,که,گر,گل,گه,یا,یار
001.txt,0.0,0.1348593277722693,0.0,0.48268726984716004,0.0,0.0,0.0,0.29335300393823915,0.0,0.0,0.0,0.0801586698197655,0.0,0.0,0.0,0.0,0.0,0.23641281224320546,0.20771668227834036,0.0,0.0,0.0,0.0,0.13043915681921045,0.0,0.0,0.0,0.0,0.0,0.0,0.41162608424356206,0.0,0.0,0.0,0.16089575661572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06309972609317223,0.0,0.0,0.0,0.12920377780168682,0.0,0.0,0.06521957840960523,0.0,0.1161532279888899,0.0,0.12920377780168682,0.0,0.0,0.0,0.0,0.05192917056958509,0.0,0.0,0.0801586698197655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22136388759999034,0.0,0.07735100386419784,0.0,0.0,0.41563429420773557,0.0,0.0,0.12920377780168682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09320921963256242,0.16617719499434014,0.0,0.0,0.0,0.0,0.0
002.txt,0.0,0.1173163159653773,0.0,0.23327637932583065,0.0,0.255192534828041,0.0919784729288202,0.0,0.08443196711308791,0.2641434557738035,0.0,0.0697313266444567,0.255192534828041,0.11239646134154854,0.0,0.0,0.0,0.10282966939529112,0.271044165042062,0.06728889250356564,0.0,0.06066622312779858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13996582759549836,0.11239646134154854,0.13457778500713127,0.0,0.33718938402464566,0.0,0.11239646134154854,0.0,0.0,0.0,0.10636431053807896,0.0,0.0,0.0,0.225156182211172,0.0,0.05673556879024621,0.10104357644547833,0.0,0.0,0.11239646134154854,0.07796752566618775,0.0,0.0,0.11936006839228946,0.045174027507010335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10636431053807896,0.08443196711308791,0.0,0.0,0.0,0.06728889250356564,0.0,0.0,0.1446268048070392,0.0,0.0,0.11239646134154854,0.0,0.0,0.0,0.0,0.0,0.1501041214741147,0.1839569458576404,0.0,0.0,0.0,0.0,0.0,0.0,0.24325263462158078,0.19274698197237472,0.07505206073705735,0.0,0.0,0.30313072933643503,0.11239646134154854
003.txt,0.0,0.0,0.0981174860447348,0.1901747971096576,0.09372995391907235,0.0,0.0,0.0,0.08603974533183056,0.0,0.0,0.0710591709666531,0.0,0.0,0.0,0.0,0.0,0.0,0.32223971188273426,0.06857022728030542,0.0,0.0,0.0,0.578159440894117,0.0,0.0,0.11453674764053588,0.0,0.1083897308567321,0.0,0.0,0.1962349720894696,0.0,0.0,0.0950873985548288,0.11453674764053588,0.06857022728030542,0.0,0.0,0.0,0.11453674764053588,0.0,0.0,0.05593673441045661,0.0,0.3684520768385934,0.0,0.0,0.0764812240344512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04603424455467633,0.0,0.0,0.2131775128999593,0.0,0.0,0.0,0.0,0.0,0.0,0.08603974533183056,0.0,0.0,0.0,0.20571068184091623,0.0,0.0,0.07369041536771867,0.0,0.11453674764053588,0.0,0.0,0.0,0.1083897308567321,0.0,0.0,0.0,0.0,0.0794522060996953,0.0,0.0,0.0,0.22907349528107177,0.0,0.0,0.14731299479410712,0.1529624480689024,0.0,0.0,0.10296767778893401,0.0
004.txt,0.08301205065342082,0.0,0.0,0.15331801425133762,0.0,0.0,0.0,0.0,0.20809449677015843,0.0,0.0,0.05728756466437317,0.0,0.0,0.0,0.16602410130684164,0.0,0.042239705010453495,0.2969007069265334,0.11056198027457177,0.0,0.049840155746604185,0.0,0.23305469164622583,0.0,0.0,0.09233897958060064,0.19611982061468097,0.08738328397221248,0.0,0.0,0.0,0.12378439629638814,0.0,0.11498851068850321,0.0,0.0,0.059408861348858165,0.0,0.20965267038969876,0.0,0.0,0.0,0.5411511414041197,0.0,0.11881772269771633,0.0,0.0,0.0,0.09233897958060064,0.04661093832924516,0.0,0.0,0.0,0.0,0.06405398955188206,0.0,0.0,0.0,0.03711258836581668,0.0,0.0,0.05728756466437317,0.0,0.09233897958060064,0.10313326787526664,0.0,0.0,0.0,0.0,0.19611982061468097,0.0,0.0,0.0,0.0,0.11310776996126014,0.059408861348858165,0.0,0.0,0.0,0.0,0.0,0.0,0.06661449359155298,0.0,0.06165879798316483,0.07556464173565185,0.0,0.0,0.09233897958060064,0.0,0.0,0.0,0.13322898718310597,0.39587677895136425,0.0,0.0,0.0,0.0,0.09233897958060064
005.txt,0.0,0.049167028435013665,0.0,0.07821252333845916,0.0,0.0,0.0,0.0,0.0,0.0,0.06796445492919002,0.0,0.0,0.0,0.09421025481921438,0.0,0.0,0.043095704442453024,0.11359405603650675,0.16920382457593225,0.08070487029634962,0.05085018043781126,0.0,0.33288865418634045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08070487029634962,0.0,0.0,0.07821252333845916,0.0,0.11280254971728818,0.12122559706889276,0.09421025481921438,0.0,0.09421025481921438,0.0,0.0,0.5521177205872174,0.08915413065374012,0.06061279853444638,0.0,0.0,0.0,0.09421025481921438,0.04755552202662006,0.33877725227829236,0.0,0.0,0.0,0.06535206155925394,0.0,0.0,0.0,0.037864685345502254,0.0,0.20009424361333758,0.05844851317954873,0.0,0.09421025481921438,0.052611646192094325,0.0,0.0,0.0,0.0,0.10004712180666879,0.08070487029634962,0.0,0.05640127485864409,0.10004712180666879,0.0,0.06061279853444638,0.09421025481921438,0.0,0.0,0.08070487029634962,0.106950670186374,0.08915413065374012,0.13592890985838005,0.09421025481921438,0.1258166615274315,0.07709598032783563,0.06535206155925394,0.0,0.0,0.0,0.0,0.0,0.0,0.36350939930538173,0.0,0.0,0.0,0.0,0.0
006.txt,0.0,0.03881723895021879,0.0637162817126625,0.12349716075850899,0.0,0.0,0.0,0.0,0.0,0.0,0.053657757466363164,0.0,0.08443727133108703,0.07437874708478769,0.0,0.0,0.0,0.034023944710870536,0.26904662068331486,0.0,0.0,0.08029216601223756,0.07898693813851652,0.1126348767050024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030874290189627247,0.14875749416957537,0.0890573147481837,0.0,0.0,0.0,0.0,0.07898693813851652,0.0,0.6175185974973617,0.0,0.0,0.0,0.0,0.3476617256439474,0.0,0.037544958901667466,0.0,0.0,0.0,0.14875749416957537,0.05159527980805177,0.07898693813851652,0.07437874708478769,0.2369608144155496,0.02989406896481276,0.0,0.0,0.23072473307740635,0.0,0.07437874708478769,0.16614702224700972,0.0,0.0,0.07038695042470271,0.05587314629676895,0.0,0.0,0.0,0.0,0.0,0.0,0.09570728836146399,0.0,0.07437874708478769,0.0,0.0,0.0,0.21116085127410814,0.053657757466363164,0.07437874708478769,0.09933192161255638,0.0,0.05159527980805177,0.0,0.0,0.0,0.0,0.07898693813851652,0.053657757466363164,0.19132647308060532,0.09933192161255638,0.0,0.0,0.0,0.0
007.txt,0.08721670236858366,0.10126266876600552,0.08310844491471063,0.1610837403900483,0.0,0.0,0.0,0.0,0.0,0.1519985863212445,0.0,0.0,0.0,0.0,0.0,0.08721670236858366,0.0,0.08875838510277015,0.11697714541987914,0.11616206624201943,0.16621688982942126,0.05236461448114221,0.0,0.1469155009441268,0.0,0.13459678922018412,0.0,0.20605350534640446,0.0,0.0,0.10302675267320223,0.0,0.0,0.09180934346524082,0.12081280529253623,0.0,0.0,0.0,0.0,0.11013590442729063,0.0,0.0,0.10302675267320223,0.6633212159224064,0.0,0.06241798555191209,0.0,0.0,0.0,0.0,0.04897183364804227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03899238180662638,0.0,0.0,0.12037848571200734,0.0,0.0,0.16253562207728459,0.0,0.0,0.0,0.07287823734217953,0.10302675267320223,0.16621688982942126,0.0,0.05808103312100971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20996577299114033,0.0,0.19434565185798255,0.0,0.06729839461009206,0.11013590442729063,0.0,0.0,0.0,0.10302675267320223,0.0,0.12477851203286193,0.06478188395266085,0.0,0.20605350534640446,0.08721670236858366,0.0
008.txt,0.2564175472982253,0.14885637987159664,0.0,0.11839675342769732,0.0,0.0,0.2334131001921766,0.10793337252984023,0.0,0.074479435778596,0.06858893749685353,0.05898555975226836,0.0,0.0,0.0,0.0,0.0,0.1304750511778221,0.07642520017872617,0.0569195106479242,0.08144641651603349,0.1026348214338376,0.0,0.0,0.0,0.06595254048970584,0.0,0.0,0.0,0.2019327835848055,0.0,0.16289283303206697,0.0,0.0,0.15786233790359644,0.09507589351066026,0.0569195106479242,0.061169731362076624,0.0,0.10793337252984023,0.0,0.0,0.10096639179240274,0.6036233477733757,0.08997331180492366,0.0,0.21586674505968045,0.0,0.0,0.0,0.04799247976478927,0.08547251576607509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038212600089363086,0.0,0.10096639179240274,0.0,0.10096639179240274,0.0,0.21238024588210352,0.0,0.10793337252984023,0.0,0.0,0.0,0.0,0.0,0.0569195106479242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1799466236098473,0.06858893749685353,0.0,0.0,0.07780436673072554,0.06595254048970584,0.0,0.0,0.0,0.0,0.10096639179240274,0.06858893749685353,0.040761050912490784,0.12697271158223386,0.0,0.2019327835848055,0.0,0.09507589351066026
009.txt,0.09932686884719305,0.0,0.0,0.22931306619918948,0.09041577939687873,0.0,0.18083155879375745,0.12542843557860756,0.0,0.0,0.07970660905505172,0.0,0.0,0.0,0.0,0.0,0.0,0.05054130824010121,0.17762612383022386,0.06614566938038766,0.0,0.059635517665200886,0.0,0.055771644259251324,0.11048687078672957,0.0,0.11048687078672957,0.0,0.0,0.11733216772260702,0.0,0.0,0.0,0.0,0.09172522647967579,0.0,0.1322913387607753,0.0,0.0,0.0,0.0,0.0,0.0,0.6475065731500612,0.0,0.0,0.0,0.0,0.0,0.0,0.055771644259251324,0.0,0.09932686884719305,0.0,0.0,0.22992862491454719,0.23466433544521403,0.0,0.0,0.044406530957555965,0.0,0.0,0.0,0.0,0.0,0.24680524071855098,0.11733216772260702,0.0,0.0,0.0,0.23466433544521403,0.0,0.11733216772260702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15941321811010345,0.0,0.0737769431346653,0.0,0.07664287497151573,0.0,0.0,0.0,0.11048687078672957,0.0,0.0,0.09473612708766642,0.1475538862693306,0.0,0.0,0.0,0.0
010.txt,0.0,0.10665134040772575,0.0,0.16965577778902194,0.08361690652994454,0.0,0.0,0.0,0.0,0.16008715915536106,0.14742603832280118,0.3169610038400404,0.0,0.0,0.0,0.09185792085971349,0.0,0.046740821958335614,0.12320205963491018,0.12234360618985989,0.0,0.05515118643823912,0.0,0.051577859485975125,0.102178739253106,0.0,0.0,0.0,0.0,0.0,0.0,0.08753104334863335,0.0,0.0,0.12724183334176645,0.0,0.06117180309492994,0.0,0.0,0.0,0.0,0.10850929966938594,0.0,0.5988168986184996,0.09669495838735298,0.0,0.0,0.102178739253106,0.2046877148869427,0.0,0.0,0.0,0.09185792085971349,0.0,0.0,0.0,0.0,0.0,0.0,0.04106735321163673,0.0,0.0,0.0,0.0,0.0,0.05706164035172813,0.0,0.0,0.09669495838735298,0.0,0.0,0.0,0.10850929966938594,0.06117180309492994,0.0,0.0,0.06573954553819014,0.102178739253106,0.0,0.0,0.1750620866972667,0.34799029032101625,0.0,0.07371301916140059,0.0,0.06822923829564757,0.0,0.0708796645389609,0.0,0.0,0.19338991677470596,0.102178739253106,0.0,0.0,0.08761238288868647,0.06822923829564757,0.0,0.0,0.09185792085971349,0.0
